City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
221,Bara,NG,2022-03-29 02:26:42,10.3744,10.7288,71.33,12,3,7.85
222,Karratha,AU,2022-03-29 02:26:42,-20.7377,116.8463,86.16,58,34,1.54
223,Fort Nelson,CA,2022-03-29 02:26:42,58.8053,-122.7002,42.39,31,20,4.61
224,Jarvakandi,EE,2022-03-29 02:27:43,58.7789,24.8258,27.82,87,94,5.7
225,Opuwo,NA,2022-03-29 02:27:43,-18.0607,13.84,67.14,52,100,3.53
226,Puerto Narino,CO,2022-03-29 02:27:43,-3.7703,-70.3831,71.56,100,100,2.35
227,Lasa,IT,2022-03-29 02:27:43,46.6166,10.7002,41.02,80,99,2.46
228,Codrington,AU,2022-03-29 02:27:44,-38.2667,141.9667,64.42,59,66,9.82
229,Jampur,PK,2022-03-29 02:27:44,29.6441,70.5954,76.05,14,0,8.5
230,Voznesenye,RU,2022-03-29 02:27:44,61.0106,35.4781,17.91,88,100,9.15
231,Baghdad,IQ,2022-03-29 02:27:45,33.3406,44.4009,54.28,38,0,9.69
232,Pine Bluff,US,2022-03-29 02:27:45,34.2284,-92.0032,62.53,64,0,5.75
233,Boyolangu,ID,2022-03-29 02:27:45,-8.1181,111.8935,82.56,73,89,3.53
234,Souillac,MU,2022-03-29 02:19:10,-20.5167,57.5167,70.18,94,20,5.75
235,Cilegon,ID,2022-03-29 02:27:46,-6.0174,106.0538,82.53,75,100,10.71
236,Tigil,RU,2022-03-29 02:19:06,57.8,158.6667,27.5,84,100,7.09
237,Vao,NC,2022-03-29 02:20:14,-22.6667,167.4833,78.33,73,99,12.19
238,Santo Nino,PH,2022-03-29 02:27:46,6.435,124.6975,85.96,64,59,2.48
239,Dikson,RU,2022-03-29 02:27:46,73.5069,80.5464,-1.68,95,100,7.25
240,Riyadh,SA,2022-03-29 02:24:00,24.6877,46.7219,57.34,25,0,9.95
241,Henties Bay,NA,2022-03-29 02:27:47,-22.116,14.2845,62.98,85,74,5.91
242,Tautira,PF,2022-03-29 02:27:47,-17.7333,-149.15,81.45,75,64,13.53
243,Chunhuhub,MX,2022-03-29 02:27:47,19.55,-88.6833,75.04,66,98,6.02
244,Luderitz,NA,2022-03-29 02:27:48,-26.6481,15.1594,59.4,91,32,3.09
245,Port Hedland,AU,2022-03-29 02:15:18,-20.3167,118.5667,93.25,43,21,3.44
246,Hukuntsi,BW,2022-03-29 02:27:48,-24.0,21.75,72.37,49,100,13.02
247,Russkaya Polyana,UA,2022-03-29 02:27:48,49.417,31.9201,44.28,55,17,14.85
248,Namie,JP,2022-03-29 02:27:49,37.4833,141.0,53.71,67,100,6.8
249,Betare Oya,CM,2022-03-29 02:27:49,5.6,14.0833,70.59,19,69,2.44
250,Champasak,LA,2022-03-29 02:27:49,14.75,106.0,85.08,89,99,1.03
251,Leningradskiy,RU,2022-03-29 02:20:12,69.3833,178.4167,-2.76,93,22,2.53
252,Breves,BR,2022-03-29 02:27:50,-1.6822,-50.4803,73.09,99,100,2.46
253,Ilheus,BR,2022-03-29 02:27:50,-14.7889,-39.0494,76.03,85,100,4.45
254,Norman Wells,CA,2022-03-29 02:27:50,65.282,-126.8329,10.44,61,40,3.44
255,Sokol,RU,2022-03-29 02:27:51,59.4617,40.1206,20.08,94,100,8.88
256,Sept-Iles,CA,2022-03-29 02:20:22,50.2001,-66.3821,30.06,95,100,3.44
257,Dabakala,CI,2022-03-29 02:27:51,8.3667,-4.4333,80.71,50,37,4.41
258,Saldanha,ZA,2022-03-29 02:27:51,-33.0117,17.9442,59.05,94,100,15.1
259,Lata,PT,2022-03-29 02:27:55,40.1629,-8.3327,58.08,76,100,2.21
260,Svirstroy,RU,2022-03-29 02:27:55,60.7999,33.7248,12.22,96,78,5.06
261,Merrill,US,2022-03-29 02:27:56,45.1805,-89.6835,29.97,52,0,0.0
262,Palmer,US,2022-03-29 02:27:56,42.1584,-72.3287,21.85,45,100,12.66
263,Kandrian,PG,2022-03-29 02:27:56,-6.2167,149.55,79.61,83,100,11.45
264,Mugumu,TZ,2022-03-29 02:27:56,-1.85,34.7,59.58,95,100,3.8
265,Alyangula,AU,2022-03-29 02:27:57,-13.8483,136.4192,89.47,66,40,8.05
266,Bandarbeyla,SO,2022-03-29 02:27:57,9.4942,50.8122,77.02,80,33,6.96
267,Ponta Do Sol,PT,2022-03-29 02:20:23,32.6667,-17.1,63.05,81,67,9.46
268,Sakakah,SA,2022-03-29 02:27:57,29.9697,40.2064,51.37,36,0,8.05
269,Porto Nacional,BR,2022-03-29 02:27:57,-10.7081,-48.4172,75.2,91,100,3.49
270,Carlisle,US,2022-03-29 02:27:58,40.2015,-77.1889,26.64,46,52,5.99
271,Kamaishi,JP,2022-03-29 02:27:58,39.2667,141.8833,45.5,55,97,6.67
272,Cabo San Lucas,MX,2022-03-29 02:28:58,22.8909,-109.9124,76.3,40,0,20.71
273,Rabo De Peixe,PT,2022-03-29 02:28:59,37.8,-25.5833,56.71,77,40,5.75
274,Balabac,PH,2022-03-29 02:28:59,7.9868,117.0645,81.66,76,100,5.26
275,Sitka,US,2022-03-29 02:28:59,57.0531,-135.33,44.49,53,100,14.97
276,Emba,KZ,2022-03-29 02:29:00,48.8264,58.1442,19.02,93,99,17.05
277,Darapidap,PH,2022-03-29 02:29:00,17.2131,120.4114,91.02,49,27,5.21
278,Tiksi,RU,2022-03-29 02:29:00,71.6872,128.8694,-3.5,91,80,3.89
279,Sao Paulo De Olivenca,BR,2022-03-29 02:29:00,-3.3783,-68.8725,72.48,100,100,3.15
280,Auki,SB,2022-03-29 02:29:01,-8.7676,160.7034,82.38,83,100,5.55
281,Batagay-Alyta,RU,2022-03-29 02:29:01,67.8006,130.4114,5.13,69,31,1.61
282,Nyurba,RU,2022-03-29 02:29:01,63.2842,118.3319,13.82,86,92,5.68
283,Bengkulu,ID,2022-03-29 02:29:02,-3.8004,102.2655,80.83,67,100,5.14
284,Beringovskiy,RU,2022-03-29 02:29:02,63.05,179.3167,4.75,87,74,9.75
285,La Ronge,CA,2022-03-29 02:29:02,55.1001,-105.2842,23.25,93,100,8.05
286,Port-Cartier,CA,2022-03-29 02:29:03,50.0334,-66.8654,29.75,84,92,9.48
287,Lhokseumawe,ID,2022-03-29 02:29:03,5.1801,97.1507,82.87,74,16,3.51
288,Torbay,CA,2022-03-29 02:29:03,47.6666,-52.7314,38.28,93,100,8.05
289,Portobelo,PA,2022-03-29 02:29:04,9.55,-79.65,77.72,86,82,15.86
290,Papara,BR,2022-03-29 02:29:04,-3.9839,-38.7273,75.69,98,98,1.61
291,Zhigansk,RU,2022-03-29 02:29:04,66.7697,123.3711,5.86,88,51,6.42
292,Praia Da Vitoria,PT,2022-03-29 02:29:04,38.7333,-27.0667,55.76,94,20,5.26
