City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
490,San Ramon,US,71.74,clear sky,37.7799,-121.978,San Ramon Marriott
491,Saint-Pierre,RE,73.08,light rain,-21.3393,55.4781,Lindsey Hôtel
492,Mackay,AU,73.69,scattered clouds,-21.15,149.2,International Lodge Motel
502,Oriximina,BR,82.24,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
503,Kupang,ID,75.85,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
505,Indergarh,IN,80.64,clear sky,26.9352,79.6724,ANCH COMPUTER
507,Calama,CL,73.44,clear sky,-22.4667,-68.9333,Park Hotel Calama
510,Marovoay,MG,75.15,broken clouds,-16.1,46.6333,Hôtel les Oliviers Marovoay
511,Wichita Falls,US,75.25,clear sky,33.9137,-98.4934,Quality Inn & Suites Wichita Falls I-44
512,Hindaun,IN,79.63,clear sky,26.7167,77.0167,Shri Ganesham Resort and Water Park
513,Ewa Beach,US,76.69,scattered clouds,21.3156,-158.0072,Base Lodging
515,Mangrol,IN,77.65,clear sky,21.1167,70.1167,Hotel The Royal Honours
516,Lorengau,PG,80.38,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
519,Harper,LR,80.94,light rain,4.375,-7.7169,Screensaver
521,Nhulunbuy,AU,77.61,few clouds,-12.2333,136.7667,East Arnhem Real Estate
522,Trairi,BR,77.45,overcast clouds,-3.2778,-39.2689,janelas do mar
523,Pimentel,PE,80.89,clear sky,-6.8367,-79.9342,Hotel Puerto del Sol
524,Sokoni,TZ,82.26,broken clouds,-6.4333,39.55,Ujamaa Beach Resort
529,Sigli,ID,79.56,overcast clouds,5.3848,95.9609,Losmen Dua Mali
530,Mareeba,AU,70.45,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
535,Hit,IQ,75.13,clear sky,33.6416,42.8251,بيت ابو رباح
536,Mindelo,CV,74.75,few clouds,16.8901,-24.9804,Hotel Gaudi
537,Pahrump,US,73.44,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
540,The Valley,AI,82.54,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
542,Jiwani,PK,78.91,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
543,Sorong,ID,77.72,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
549,Midland,US,77.05,clear sky,31.9974,-102.0779,DoubleTree by Hilton Hotel Midland Plaza
550,Limbang,MY,77.11,few clouds,4.75,115.0,Purnama Hotel
553,Kismayo,SO,81.05,clear sky,-0.3582,42.5454,Agan-Hotel
557,Kimbe,PG,74.59,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
558,Honiara,SB,74.53,overcast clouds,-9.4333,159.95,Heritage Park Hotel
559,Laguna,US,71.78,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
560,Vaitape,PF,81.84,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
562,Pundaguitan,PH,81.0,scattered clouds,6.3711,126.1689,Leonardo Family Beach House 1
563,Antofagasta,CL,72.21,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
565,Benjamin Aceval,PY,73.6,clear sky,-24.9667,-57.5667,Escuela Agrícola y Hotel Cerrito
566,Quatre Cocos,MU,77.11,moderate rain,-20.2078,57.7625,Sunrise Attitude Hotel
577,Port-Gentil,GA,79.83,moderate rain,-0.7193,8.7815,Fengshui Residence
582,Okitipupa,NG,81.91,overcast clouds,6.5047,4.7839,Coastal Hotel & Suites
584,Lovington,US,74.03,overcast clouds,32.944,-103.3485,Buena vida rv parks
587,Masjid Tanah,MY,78.69,few clouds,2.3455,102.1107,Tanjung Bidara Palma Bed & Breakfast
588,Nanakuli,US,76.71,scattered clouds,21.3906,-158.1547,Camp Pālehua
590,Gamba,GA,76.8,light rain,-2.65,10.0,
591,Papetoai,PF,83.79,light rain,-17.4961,-149.8729,Fare Vaihere
592,Moron,AR,70.95,clear sky,-34.6534,-58.6198,Hotel Morón
595,Manakara,MG,71.69,clear sky,-22.1333,48.0167,La Residence Manakara
596,Le Port,RE,73.4,moderate rain,-20.9373,55.2919,KORBEY D'OR OUEST
598,Nabire,ID,75.42,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
599,Gigmoto,PH,78.37,overcast clouds,13.7796,124.39,Cj's Travellers Inn
603,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Bungalow 63
604,Kahului,US,76.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
605,Micheweni,TZ,81.52,overcast clouds,-4.9667,39.8333,
610,Jambi,ID,74.61,broken clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
611,Madhubani,IN,79.88,clear sky,26.3667,86.0833,Hotel Raj Vilas
615,Sinnamary,GF,78.03,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
619,Someshwar,IN,76.78,scattered clouds,13.5,75.0667,Kadinamane Homestay
621,Ocho Rios,JM,83.8,few clouds,18.4025,-77.1048,Hibiscus Lodge
622,Boende,CD,77.58,light rain,-0.2167,20.8667,
