City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
282,Yankton,US,42.8711,-97.3973,55.11,40,0,8.05,clear sky
283,Tomatlan,MX,19.9333,-105.25,84.54,38,31,10.2,scattered clouds
284,Aykhal,RU,66.0,111.5,0.14,98,69,11.97,broken clouds
285,Homer,US,59.6425,-151.5483,39.09,78,100,15.99,light rain
286,Strezhevoy,RU,60.7333,77.5889,14.38,95,100,2.06,overcast clouds
287,Mnogovershinnyy,RU,53.9353,139.9242,2.7,89,32,3.06,scattered clouds
288,Muscle Shoals,US,34.7448,-87.6675,60.12,45,0,5.75,clear sky
289,Jardim,BR,-21.4803,-56.1381,60.4,77,99,5.19,overcast clouds
290,Tabou,CI,4.423,-7.3528,81.03,85,64,8.43,light rain
291,Ilhabela,BR,-23.7781,-45.3581,71.89,90,100,6.96,overcast clouds
292,Odweyne,SO,9.4092,45.064,76.87,51,2,12.06,clear sky
293,Lugoba,TZ,-6.45,38.3333,71.19,95,95,2.68,light rain
294,Manavalakurichi,IN,8.1333,77.3,80.65,81,17,5.79,few clouds
295,Tadine,NC,-21.55,167.8833,79.68,88,95,14.38,overcast clouds
296,Emerald,AU,-23.5333,148.1667,69.94,94,0,5.75,clear sky
297,Ulladulla,AU,-35.35,150.4667,58.77,92,100,20.87,overcast clouds
298,Meulaboh,ID,4.1363,96.1285,79.59,79,100,0.29,overcast clouds
299,Kavaratti,IN,10.5669,72.642,82.81,76,5,7.74,clear sky
300,Faanui,PF,-16.4833,-151.75,81.79,73,100,5.32,light rain
301,Mayumba,GA,-3.432,10.6554,77.0,93,100,11.43,moderate rain
302,Mecca,SA,21.4267,39.8261,80.98,36,3,3.22,clear sky
303,Guerrero Negro,MX,27.9769,-114.0611,65.46,54,8,14.54,clear sky
304,Derzhavinsk,KZ,51.1,66.3167,27.01,86,64,10.09,broken clouds
305,Awassa,ET,7.05,38.4667,68.13,44,18,4.12,few clouds
306,Bulawayo,ZW,-20.15,28.5833,66.45,41,0,5.77,clear sky
307,Yurginskoye,RU,56.8189,67.3921,21.67,99,100,5.46,overcast clouds
308,Minuri,PH,16.535,121.8574,70.57,96,26,0.81,scattered clouds
309,Marzuq,YE,14.4,46.4667,70.41,40,0,5.59,clear sky
310,Marsh Harbour,BS,26.5412,-77.0636,79.21,75,41,16.06,scattered clouds
311,Kirkland Lake,CA,48.1446,-80.0377,28.69,46,100,11.86,overcast clouds
312,Esmeralda,CU,21.8525,-78.1169,92.28,38,0,10.0,clear sky
313,Lamu,KE,-2.2717,40.902,84.42,83,12,8.1,few clouds
314,Zwedru,LR,6.0667,-8.1281,77.83,87,86,5.57,moderate rain
315,Wolgast,DE,54.05,13.7667,35.85,65,96,21.34,overcast clouds
316,Luena,AO,-11.7833,19.9167,66.54,91,96,3.56,overcast clouds
317,Kirakira,SB,-10.4544,161.9205,78.01,90,100,17.16,moderate rain
318,Taoudenni,ML,22.6783,-3.9836,84.72,6,100,3.42,overcast clouds
319,Konakovo,RU,56.7,36.7667,27.36,89,100,9.4,overcast clouds
320,Baruun-Urt,MN,46.6806,113.2792,31.3,31,0,6.42,clear sky
321,Mehamn,NO,71.0357,27.8492,26.51,94,100,10.85,light snow
322,Sapa,PH,5.1544,120.3241,80.44,82,99,8.81,overcast clouds
323,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,21.79,63,0,8.95,clear sky
324,Upington,ZA,-28.4478,21.2561,73.78,49,0,2.3,clear sky
325,Pyay,MM,18.8167,95.2167,79.56,69,38,3.62,scattered clouds
326,Kamphaeng Phet,TH,16.25,99.5,81.03,60,99,9.31,overcast clouds
327,Nuuk,GL,64.1835,-51.7216,34.41,75,75,10.36,broken clouds
328,Hoquiam,US,46.9809,-123.8893,49.44,78,100,10.36,overcast clouds
329,Aksarka,RU,66.5606,67.7975,8.85,90,73,10.74,broken clouds
330,Ancud,CL,-41.8697,-73.8203,65.23,78,8,8.16,clear sky
331,Dharmadam,IN,11.7833,75.4333,80.71,85,82,2.35,broken clouds
332,Tual,ID,-5.6667,132.75,82.22,70,20,3.44,few clouds
333,Grand Gaube,MU,-20.0064,57.6608,77.4,90,100,5.99,light rain
334,Linqing,CN,36.8456,115.7117,46.06,63,0,8.05,clear sky
335,Taree,AU,-31.9,152.4667,60.73,67,100,8.05,overcast clouds
336,Maneadero,MX,31.7167,-116.5667,64.53,54,0,7.0,clear sky
337,Biankouma,CI,7.7391,-7.6138,73.15,80,100,1.92,overcast clouds
338,Ust-Kuyga,RU,70.0167,135.6,-9.24,97,76,5.5,broken clouds
339,Guapore,BR,-28.8456,-51.8903,62.71,43,12,4.47,few clouds
340,Sorland,NO,67.667,12.6934,33.66,66,100,23.87,light snow
341,Puerto Escondido,MX,15.85,-97.0667,86.18,46,3,9.06,clear sky
